step,projection
0,-19.52843475341797
1,-18.243173599243164
2,-16.290903091430664
3,-17.56108283996582
4,-18.311870574951172
5,-20.441017150878906
6,-18.85529136657715
7,-19.948848724365234
8,-19.5291748046875
9,-19.61966896057129
10,-19.671527862548828
11,-15.432211875915527
12,-14.815991401672363
13,-19.521879196166992
14,-13.126435279846191
