step,projection
0,-18.526988983154297
1,-18.35260009765625
2,-19.3918514251709
3,-21.520294189453125
4,-15.183801651000977
5,-18.836475372314453
6,-20.78352928161621
7,-20.176862716674805
8,-20.659954071044922
9,-17.716127395629883
10,-19.069883346557617
11,-17.394474029541016
12,-18.29676055908203
13,-21.40033721923828
14,-19.68781280517578
