step,projection
0,-17.62519645690918
1,-15.125435829162598
2,-19.633312225341797
3,-9.408769607543945
4,-20.219409942626953
5,-3.5500993728637695
6,-16.983137130737305
7,-20.183597564697266
8,-13.202073097229004
9,-21.079463958740234
10,-19.07100486755371
11,-19.51259422302246
12,-14.826095581054688
13,-19.000120162963867
14,-13.96126937866211
