step,projection
0,-18.90084457397461
1,-22.691661834716797
2,-21.37775421142578
3,-20.962430953979492
4,-20.912527084350586
5,-21.38724136352539
6,-22.7360897064209
7,-15.183801651000977
8,-21.776283264160156
9,-21.245153427124023
10,-18.836475372314453
11,-19.68781280517578
12,-18.35260009765625
13,-19.31917381286621
14,-20.659954071044922
