step,projection
0,-19.31917381286621
1,-21.38724136352539
2,-21.776283264160156
3,-21.37775421142578
4,-20.962430953979492
5,-15.183801651000977
6,-22.7360897064209
7,-20.659954071044922
8,-18.35260009765625
9,-18.90084457397461
10,-22.691661834716797
11,-20.912527084350586
12,-18.836475372314453
13,-19.68781280517578
14,-21.245153427124023
