step,projection
0,-18.35260009765625
1,-20.176862716674805
2,-20.78352928161621
3,-18.526988983154297
4,-19.069883346557617
5,-19.68781280517578
6,-17.716127395629883
7,-21.40033721923828
8,-20.659954071044922
9,-18.29676055908203
10,-21.520294189453125
11,-17.394474029541016
12,-18.836475372314453
13,-19.3918514251709
14,-15.183801651000977
