step,projection
0,9.532617568969727
1,11.028950691223145
2,17.09687042236328
3,16.20315170288086
4,14.71522045135498
5,9.519248962402344
6,12.361987113952637
7,10.764947891235352
8,13.585190773010254
9,11.333223342895508
10,19.335472106933594
11,17.416584014892578
12,15.374671936035156
13,9.427151679992676
14,16.93358612060547
