step,projection
0,-21.520294189453125
1,-19.3918514251709
2,-17.716127395629883
3,-15.183801651000977
4,-19.069883346557617
5,-21.40033721923828
6,-19.68781280517578
7,-20.78352928161621
8,-18.35260009765625
9,-20.176862716674805
10,-17.394474029541016
11,-18.29676055908203
12,-18.836475372314453
13,-20.659954071044922
14,-18.526988983154297
